id,firstName,lastName,email,phone,role,department,hireDate,permissions
staff_1,Staff1,Member1,staff1@example.com,+19024414609,staff,Registration,2025-03-18,"attendee_checkin,basic,resource_distribute"
staff_2,Staff2,Member2,staff2@example.com,+19953215266,admin,Customer Service,2025-04-05,"admin,user_manage,event_manage,system_access,reports_manage"
staff_3,Staff3,Member3,staff3@example.com,+12023311270,admin,Registration,2025-04-24,"admin,user_manage,event_manage,system_access,reports_manage"
staff_4,Staff4,Member4,staff4@example.com,+17956959736,staff,Technical Support,2024-07-24,"attendee_checkin,basic,resource_distribute"
staff_5,Staff5,Member5,staff5@example.com,+17025206071,staff,Customer Service,2025-03-03,"attendee_checkin,basic,resource_distribute"
staff_6,Staff6,Member6,staff6@example.com,+12280123256,support,Technical Support,2024-10-16,"basic,attendee_view,event_view"
staff_7,Staff7,Member7,staff7@example.com,+15635193411,support,Technical Support,2024-07-26,"basic,attendee_view,event_view"
staff_8,Staff8,Member8,staff8@example.com,+14451490327,manager,Technical Support,2024-12-22,"event_manage,attendee_manage,reports_view,staff_manage"
staff_9,Staff9,Member9,staff9@example.com,+16811823087,support,Security,2025-03-18,"basic,attendee_view,event_view"
staff_10,Staff10,Member10,staff10@example.com,+16255050010,manager,Customer Service,2025-04-12,"event_manage,attendee_manage,reports_view,staff_manage"
staff_11,Staff11,Member11,staff11@example.com,+11283354095,support,Operations,2024-05-14,"basic,attendee_view,event_view"
staff_12,Staff12,Member12,staff12@example.com,+14085511715,manager,Registration,2024-10-23,"event_manage,attendee_manage,reports_view,staff_manage"
staff_13,Staff13,Member13,staff13@example.com,+15123728157,manager,Security,2024-11-29,"event_manage,attendee_manage,reports_view,staff_manage"
staff_14,Staff14,Member14,staff14@example.com,+19115317590,support,Technical Support,2024-10-17,"basic,attendee_view,event_view"
staff_15,Staff15,Member15,staff15@example.com,+13149609472,admin,Security,2024-06-24,"admin,user_manage,event_manage,system_access,reports_manage"
staff_16,Staff16,Member16,staff16@example.com,+18018133158,staff,Registration,2024-09-05,"attendee_checkin,basic,resource_distribute"
staff_17,Staff17,Member17,staff17@example.com,+12494044257,staff,Security,2025-04-30,"attendee_checkin,basic,resource_distribute"
staff_18,Staff18,Member18,staff18@example.com,+15302364494,admin,Registration,2024-11-08,"admin,user_manage,event_manage,system_access,reports_manage"
staff_19,Staff19,Member19,staff19@example.com,+11695267422,support,Security,2024-12-20,"basic,attendee_view,event_view"
staff_20,Staff20,Member20,staff20@example.com,+13228803380,support,Security,2024-12-17,"basic,attendee_view,event_view"
staff_21,Staff21,Member21,staff21@example.com,+19778381552,support,Technical Support,2024-08-05,"basic,attendee_view,event_view"
staff_22,Staff22,Member22,staff22@example.com,+19880072800,staff,Customer Service,2024-06-06,"attendee_checkin,basic,resource_distribute"
staff_23,Staff23,Member23,staff23@example.com,+16595528111,admin,Security,2024-08-01,"admin,user_manage,event_manage,system_access,reports_manage"
staff_24,Staff24,Member24,staff24@example.com,+14379962879,staff,Registration,2025-01-14,"attendee_checkin,basic,resource_distribute"
staff_25,Staff25,Member25,staff25@example.com,+17632721342,admin,Customer Service,2024-07-16,"admin,user_manage,event_manage,system_access,reports_manage"
staff_26,Staff26,Member26,staff26@example.com,+15044946885,manager,Customer Service,2024-10-16,"event_manage,attendee_manage,reports_view,staff_manage"
staff_27,Staff27,Member27,staff27@example.com,+12122479645,admin,Security,2024-09-11,"admin,user_manage,event_manage,system_access,reports_manage"
staff_28,Staff28,Member28,staff28@example.com,+12150680058,admin,Customer Service,2025-02-22,"admin,user_manage,event_manage,system_access,reports_manage"
staff_29,Staff29,Member29,staff29@example.com,+16416188827,admin,Operations,2024-09-05,"admin,user_manage,event_manage,system_access,reports_manage"
staff_30,Staff30,Member30,staff30@example.com,+16494454314,admin,Registration,2025-02-11,"admin,user_manage,event_manage,system_access,reports_manage"
staff_13,Staff13,Member13,staff13@example.com,+15123728157,manager,Operations,2024-11-29,"event_manage,attendee_manage,reports_view,staff_manage"
staff_22,Staff22,Member22,staff22@example.com,+13850940920,staff,Customer Service,2024-06-06,"attendee_checkin,basic,resource_distribute"
staff_14,STAFF14,Member14,staff14@example.com,+19115317590,support,Technical Support,2024-10-17,"basic,attendee_view,event_view"
staff_28,Staff28,Member28,staff28@example.com,+12150680058,admin,Security,2025-02-22,"admin,user_manage,event_manage,system_access,reports_manage"
staff_25,Staff25,Member25,staff25@example.com,+18657280695,admin,Customer Service,2024-07-16,"admin,user_manage,event_manage,system_access,reports_manage"
staff_16,STAFF16,Member16,staff16@example.com,+18018133158,staff,Registration,2024-09-05,"attendee_checkin,basic,resource_distribute"
staff_4,Staff4,Member4,staff4@example.com,+17956959736,staff,Customer Service,2024-07-24,"attendee_checkin,basic,resource_distribute"
staff_4,Staff4,Member4,staff4@example.com,+11590540975,staff,Technical Support,2024-07-24,"attendee_checkin,basic,resource_distribute"
staff_6,STAFF6,Member6,staff6@example.com,+12280123256,support,Technical Support,2024-10-16,"basic,attendee_view,event_view"
staff_29,Staff29,Member29,staff29@example.com,+16416188827,admin,Registration,2024-09-05,"admin,user_manage,event_manage,system_access,reports_manage"
staff_4,Staff4,Member4,staff4@example.com,+17956959736,staff,Technical Support,2024-07-24,"attendee_checkin,basic,resource_distribute"
staff_6,Staff6,Member6,staff6@example.com,+12280123256,support,Technical Support,2024-10-16,"basic,attendee_view,event_view"
staff_7,Staff7,Member7,staff7@example.com,+15635193411,support,Technical Support,2024-07-26,"basic,attendee_view,event_view"
