name,email,phone,role,company,title,registrationDate,tags,notes,eventId
First1 Last1,attendee1@example.com,+18974389697,Speaker,DevWorld,Designer,2025-05-14,vip,,evt_12
First2 Last2,attendee2@example.com,+17953541697,Staff,InnovateCo,Marketing Director,2025-05-06,"product,speaker,engineering",,evt_4
First3 Last3,attendee3@example.com,+17866993129,Sponsor,Acme Inc.,Sales Manager,2025-04-19,"engineering,vip",,evt_15
First4 Last4,attendee4@example.com,+16705996326,Regular,DevWorld,Marketing Director,2025-05-01,"speaker,vip",,evt_4
First5 Last5,attendee5@example.com,+13922224103,Staff,GlobalSoft,Sales Manager,2025-05-05,"tech,product",Notes for First5 Last5: Previous sponsor,evt_8
First6 Last6,attendee6@example.com,+15869851755,Sponsor,FutureTech,Product Manager,2025-04-15,"vip,engineering,speaker",,evt_2
First7 Last7,attendee7@example.com,+19749950254,Sponsor,MediaWorks,CEO,2025-05-01,speaker,Notes for First7 Last7: First-time attendee,evt_13
First8 Last8,attendee8@example.com,+12990052695,Sponsor,GlobalSoft,CEO,2025-05-09,vip,Notes for First8 Last8: Requires accessibility assistance,evt_7
First9 Last9,attendee9@example.com,+13734571158,VIP,GlobalSoft,Sales Manager,2025-05-08,product,,evt_3
First10 Last10,attendee10@example.com,+14201195405,VIP,MediaWorks,Sales Manager,2025-05-10,"marketing,sales,vip",,evt_1
First11 Last11,attendee11@example.com,+17580665363,Speaker,DevWorld,Product Manager,2025-04-20,business,,evt_4
First12 Last12,attendee12@example.com,+15434161322,Sponsor,FutureTech,Designer,2025-05-04,marketing,Notes for First12 Last12: Special dietary requirements,evt_8
First13 Last13,attendee13@example.com,+15064707534,Staff,TechCorp,Product Manager,2025-05-08,"marketing,business",Notes for First13 Last13: Requires accessibility assistance,evt_5
First14 Last14,attendee14@example.com,+11887507666,Staff,GlobalSoft,CEO,2025-05-01,"tech,speaker,design",,evt_13
First15 Last15,attendee15@example.com,+13380348544,Regular,MediaWorks,Sales Manager,2025-04-23,leadership,Notes for First15 Last15: First-time attendee,evt_11
First16 Last16,attendee16@example.com,+13991446746,Sponsor,GlobalSoft,Designer,2025-05-08,"tech,vip",,evt_8
First17 Last17,attendee17@example.com,+12478727715,Staff,TechCorp,CTO,2025-05-05,engineering,,evt_13
First18 Last18,attendee18@example.com,+13265314198,Staff,GlobalSoft,Marketing Director,2025-05-06,"marketing,engineering",,evt_5
First19 Last19,attendee19@example.com,+11468126818,Speaker,InnovateCo,Marketing Director,2025-04-17,sales,,evt_14
