id,firstName,lastName,email,phone,role,department,hireDate,permissions
staff_1,Staff1,Member1,staff1@example.com,+15863331212,manager,Customer Service,2025-02-05,"event_manage,attendee_manage"
staff_2,Staff2,Member2,staff2@example.com,+12255431787,manager,Security,2024-12-02,"event_manage,attendee_manage"
staff_3,Staff3,Member3,staff3@example.com,+12338087924,manager,Customer Service,2024-08-28,"event_manage,attendee_manage"
staff_4,Staff4,Member4,staff4@example.com,+12791159731,staff,Security,2025-02-02,"basic,attendee_checkin"
staff_5,Staff5,Member5,staff5@example.com,+14214769189,staff,Registration,2025-05-01,"basic,attendee_checkin"
staff_6,Staff6,Member6,staff6@example.com,+19976912933,staff,Customer Service,2024-11-11,"basic,attendee_checkin"
staff_7,Staff7,Member7,staff7@example.com,+16555497845,admin,Registration,2024-07-10,"admin,user_manage,event_manage"
staff_8,Staff8,Member8,staff8@example.com,+17519666650,admin,Technical Support,2024-06-20,"admin,user_manage,event_manage"
staff_9,Staff9,Member9,staff9@example.com,+18580339648,staff,Customer Service,2024-05-26,"basic,attendee_checkin"
staff_10,Staff10,Member10,staff10@example.com,+12931868033,staff,Security,2024-09-28,"basic,attendee_checkin"
staff_11,Staff11,Member11,staff11@example.com,+17597985377,staff,Registration,2025-03-01,"basic,attendee_checkin"
staff_12,Staff12,Member12,staff12@example.com,+17051554237,admin,Security,2024-11-23,"admin,user_manage,event_manage"
staff_13,Staff13,Member13,staff13@example.com,+19572999543,support,Operations,2025-04-26,"basic,attendee_checkin"
staff_14,Staff14,Member14,staff14@example.com,+16689781563,support,Security,2025-04-08,"admin,user_manage,event_manage"
staff_15,Staff15,Member15,staff15@example.com,+16555695247,manager,Technical Support,2024-07-30,"event_manage,attendee_manage"
staff_16,Staff16,Member16,staff16@example.com,+13573874686,support,Registration,2024-10-01,"reports_view,dashboard_view"
staff_17,Staff17,Member17,staff17@example.com,+11259077555,support,Registration,2024-06-13,"event_manage,attendee_manage"
staff_18,Staff18,Member18,staff18@example.com,+18998172177,admin,Security,2024-06-02,"admin,user_manage,event_manage"
staff_19,Staff19,Member19,staff19@example.com,+17313070757,admin,Registration,2024-08-23,"admin,user_manage,event_manage"
staff_20,Staff20,Member20,staff20@example.com,+11388952596,admin,Technical Support,2024-07-19,"admin,user_manage,event_manage"
staff_21,Staff21,Member21,staff21@example.com,+15841830117,admin,Security,2025-02-10,"admin,user_manage,event_manage"
staff_22,Staff22,Member22,staff22@example.com,+15745741736,admin,Technical Support,2025-05-06,"admin,user_manage,event_manage"
staff_23,Staff23,Member23,staff23@example.com,+16097625121,staff,Operations,2024-12-21,"basic,attendee_checkin"
staff_24,Staff24,Member24,staff24@example.com,+16381607904,support,Security,2024-10-10,"reports_view,dashboard_view"
staff_25,Staff25,Member25,staff25@example.com,+15405194494,admin,Customer Service,2024-06-28,"admin,user_manage,event_manage"
staff_26,Staff26,Member26,staff26@example.com,+12542877428,manager,Operations,2024-09-13,"event_manage,attendee_manage"
staff_27,Staff27,Member27,staff27@example.com,+11819623420,staff,Security,2024-07-08,"basic,attendee_checkin"
staff_28,Staff28,Member28,staff28@example.com,+15190349392,admin,Technical Support,2024-08-01,"admin,user_manage,event_manage"
staff_29,Staff29,Member29,staff29@example.com,+17640854373,manager,Security,2025-02-25,"event_manage,attendee_manage"
staff_30,Staff30,Member30,staff30@example.com,+16478158439,support,Operations,2024-07-18,"admin,user_manage,event_manage"
staff_31,Staff31,Member31,staff31@example.com,+19989221570,admin,Customer Service,2025-04-25,"admin,user_manage,event_manage"
staff_32,Staff32,Member32,staff32@example.com,+11867450177,manager,Operations,2024-06-02,"event_manage,attendee_manage"
staff_33,Staff33,Member33,staff33@example.com,+16294644759,support,Security,2024-06-11,"event_manage,attendee_manage"
staff_34,Staff34,Member34,staff34@example.com,+12374595071,manager,Operations,2024-12-30,"event_manage,attendee_manage"
staff_35,Staff35,Member35,staff35@example.com,+18459091599,support,Operations,2025-03-15,"admin,user_manage,event_manage"
staff_36,Staff36,Member36,staff36@example.com,+16703055858,manager,Registration,2024-12-07,"event_manage,attendee_manage"
staff_37,Staff37,Member37,staff37@example.com,+19958157793,support,Registration,2025-02-21,"reports_view,dashboard_view"
staff_38,Staff38,Member38,staff38@example.com,+18202065690,support,Security,2024-08-19,"event_manage,attendee_manage"
staff_39,Staff39,Member39,staff39@example.com,+15828058818,support,Customer Service,2024-07-06,"basic,attendee_checkin"
staff_40,Staff40,Member40,staff40@example.com,+19250801784,support,Technical Support,2024-11-10,"basic,attendee_checkin"
staff_41,Staff41,Member41,staff41@example.com,+16747229002,support,Security,2024-11-19,"basic,attendee_checkin"
staff_42,Staff42,Member42,staff42@example.com,+17268785564,admin,Operations,2025-04-08,"admin,user_manage,event_manage"
staff_43,Staff43,Member43,staff43@example.com,+18593900389,support,Customer Service,2024-07-24,"event_manage,attendee_manage"
staff_44,Staff44,Member44,staff44@example.com,+16215279569,admin,Technical Support,2024-06-14,"admin,user_manage,event_manage"
staff_45,Staff45,Member45,staff45@example.com,+17549916021,admin,Security,2025-04-03,"admin,user_manage,event_manage"
staff_46,Staff46,Member46,staff46@example.com,+18502257479,admin,Operations,2024-05-17,"admin,user_manage,event_manage"
staff_47,Staff47,Member47,staff47@example.com,+12843271147,staff,Registration,2025-03-30,"basic,attendee_checkin"
staff_48,Staff48,Member48,staff48@example.com,+17247405631,staff,Customer Service,2024-06-28,"basic,attendee_checkin"
staff_49,Staff49,Member49,staff49@example.com,+11011060457,support,Operations,2025-03-24,"basic,attendee_checkin"
staff_50,Staff50,Member50,staff50@example.com,+12873964610,admin,Customer Service,2025-04-07,"admin,user_manage,event_manage"
staff_24,Staff24,Member24,staff24@example.com,+16381607904,support,security,2024-10-10,"reports_view,dashboard_view"
staff_10,Staff10,Member10,staff10@example.com,+1-293-186-8033,staff,Security,2024-09-28,"basic,attendee_checkin"
staff_23,Staff23,Member23,staff23@example.com,+1-609-762-5121,staff,Operations,2024-12-21,"basic,attendee_checkin"
staff_44,Staff44,Member44,staff44@example.com,+16215279569,admin,technical support,2024-06-14,"admin,user_manage,event_manage"
staff_21,Staff21,Member21,staff21@example.com,+15841830117,admin,security,2025-02-10,"admin,user_manage,event_manage"
staff_26,Staff26,Member26,staff26@example.com,+12542877428,manager,operations,2024-09-13,"event_manage,attendee_manage"
staff_20,Staff20,Member20,staff20@example.com,+11388952596,admin,technical support,2024-07-19,"admin,user_manage,event_manage"
staff_10,Staff10,Member10,staff10@example.com,+1-293-186-8033,staff,Security,2024-09-28,"basic,attendee_checkin"
staff_12,Staff12,Member12,staff12@example.com,+1-705-155-4237,admin,Security,2024-11-23,"admin,user_manage,event_manage"
staff_19,Staff19,Member19,staff19@example.com,+17313070757,admin,registration,2024-08-23,"admin,user_manage,event_manage"
staff_33,Staff33,Member33,staff33@example.com,+16294644759,support,security,2024-06-11,"event_manage,attendee_manage"
staff_36,Staff36,Member36,staff36@example.com,+16703055858,manager,registration,2024-12-07,"event_manage,attendee_manage"
staff_31,Staff31 ,Member31,staff31@example.com,+19989221570,admin,Customer Service,2025-04-25,"admin,user_manage,event_manage"
staff_32,Staff32,Member32,staff32@example.com,+1-186-745-0177,manager,Operations,2024-06-02,"event_manage,attendee_manage"
staff_41,Staff41 ,Member41,staff41@example.com,+16747229002,support,Security,2024-11-19,"basic,attendee_checkin"
