id,firstName,lastName,email,phone,role,department,hireDate,permissions
staff_1,Staff1,Member1,staff1@example.com,+13080596220,support,Technical Support,2025-03-21,"resource_manage,attendee_checkin"
staff_2,Staff2,Member2,staff2@example.com,+15875170961,support,Operations,2025-04-26,"admin,user_manage,event_manage"
staff_3,Staff3,Member3,staff3@example.com,+19018556236,staff,Customer Service,2024-11-25,"basic,attendee_checkin"
staff_4,Staff4,Member4,staff4@example.com,+18776116936,admin,Customer Service,2025-03-19,"admin,user_manage,event_manage"
staff_5,Staff5,Member5,staff5@example.com,+12774981073,staff,Security,2025-04-24,"basic,attendee_checkin"
staff_6,Staff6,Member6,staff6@example.com,+14414028646,admin,Operations,2024-12-27,"admin,user_manage,event_manage"
staff_7,Staff7,Member7,staff7@example.com,+16060565284,support,Registration,2025-03-27,"resource_manage,attendee_checkin"
staff_8,Staff8,Member8,staff8@example.com,+14819819736,admin,Registration,2025-03-05,"admin,user_manage,event_manage"
staff_9,Staff9,Member9,staff9@example.com,+17873888116,staff,Technical Support,2025-04-14,"basic,attendee_checkin"
staff_10,Staff10,Member10,staff10@example.com,+16737668769,support,Registration,2025-03-24,"basic,attendee_checkin"
staff_11,Staff11,Member11,staff11@example.com,+12990325707,support,Registration,2025-03-02,"event_manage,attendee_manage"
staff_12,Staff12,Member12,staff12@example.com,+11801961957,admin,Operations,2025-02-06,"admin,user_manage,event_manage"
staff_13,Staff13,Member13,staff13@example.com,+19634610764,admin,Registration,2025-03-15,"admin,user_manage,event_manage"
staff_14,Staff14,Member14,staff14@example.com,+12836123345,support,Customer Service,2024-11-28,"admin,user_manage,event_manage"
staff_15,Staff15,Member15,staff15@example.com,+19837268159,support,Customer Service,2025-03-05,"admin,user_manage,event_manage"
staff_16,Staff16,Member16,staff16@example.com,+14980942064,manager,Technical Support,2025-03-20,"event_manage,attendee_manage"
staff_17,Staff17,Member17,staff17@example.com,+18759116863,staff,Registration,2025-01-19,"basic,attendee_checkin"
staff_18,Staff18,Member18,staff18@example.com,+15903146339,admin,Security,2025-03-16,"admin,user_manage,event_manage"
staff_19,Staff19,Member19,staff19@example.com,+13366673970,support,Customer Service,2024-12-29,"admin,user_manage,event_manage"
staff_20,Staff20,Member20,staff20@example.com,+17394905037,admin,Customer Service,2025-01-02,"admin,user_manage,event_manage"
staff_21,Staff21,Member21,staff21@example.com,+11164965018,admin,Security,2025-02-25,"admin,user_manage,event_manage"
staff_22,Staff22,Member22,staff22@example.com,+17797572376,admin,Technical Support,2025-02-05,"admin,user_manage,event_manage"
staff_23,Staff23,Member23,staff23@example.com,+13709347892,support,Operations,2025-03-21,"admin,user_manage,event_manage"
staff_24,Staff24,Member24,staff24@example.com,+15756370999,staff,Operations,2025-01-25,"basic,attendee_checkin"
staff_25,Staff25,Member25,staff25@example.com,+11596921851,admin,Operations,2025-03-18,"admin,user_manage,event_manage"
staff_1,Staff1,Member1,staff1@example.com,+1-308-059-6220,support,Technical Support,2025-03-21,"resource_manage,attendee_checkin"
staff_6,Staff6,Member6,staff6@example.com,+14414028646,admin,operations,2024-12-27,"admin,user_manage,event_manage"
staff_18,Staff18,Member18,staff18@example.com,+1-590-314-6339,admin,Security,2025-03-16,"admin,user_manage,event_manage"
staff_9,Staff9,Member9,staff9@example.com,+1-787-388-8116,staff,Technical Support,2025-04-14,"basic,attendee_checkin"
staff_5,Staff5,Member5,staff5@example.com,+1-277-498-1073,staff,Security,2025-04-24,"basic,attendee_checkin"
